# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
