Sample:float,Data:float
"3775860.0","11458.0"
"3775861.0","12629.0"
"3775862.0","13211.0"
"3775863.0","13241.0"
"3775864.0","12707.0"
"3775865.0","11723.0"
"3775866.0","10360.0"
"3775867.0","8667.0"
"3775868.0","6902.0"
"3775869.0","5296.0"
"3775870.0","4157.0"
"3775871.0","3521.0"
"3775872.0","3398.0"
"3775873.0","3807.0"
"3775874.0","7618.0"
"3775875.0","9444.0"
"3775876.0","10980.0"
"3775877.0","12343.0"
"3775878.0","13032.0"
"3775879.0","13162.0"
"3775880.0","12889.0"
"3775881.0","11977.0"
"3775882.0","10712.0"
"3775883.0","9173.0"
"3775884.0","7292.0"
"3775885.0","5571.0"
"3775886.0","4367.0"
"3775887.0","3453.0"
"3775888.0","3228.0"
"3775889.0","3404.0"
"3775890.0","4171.0"
"3775891.0","5393.0"
"3775892.0","6886.0"
"3775893.0","8565.0"
"3775894.0","10259.0"
"3775895.0","11753.0"
"3775896.0","12733.0"
"3775897.0","13235.0"
"3775898.0","13048.0"
"3775899.0","12479.0"
"3775900.0","11367.0"
"3775901.0","9846.0"
"3775902.0","8135.0"
"3775903.0","6338.0"
"3775904.0","4809.0"
"3775905.0","3797.0"
"3775906.0","3281.0"
"3775907.0","3259.0"
"3775908.0","3803.0"
"3775909.0","4805.0"
"3775910.0","6131.0"
"3775911.0","7838.0"
"3775912.0","9566.0"
"3775913.0","11110.0"
"3775914.0","12403.0"
"3775915.0","13139.0"
"3775916.0","13207.0"
"3775917.0","12920.0"
"3775918.0","12015.0"
"3775919.0","10718.0"
"3775920.0","9101.0"
"3775921.0","7182.0"
"3775922.0","5565.0"
"3775923.0","4189.0"
"3775924.0","3434.0"
"3775925.0","3295.0"
"3775926.0","3620.0"
"3775927.0","4392.0"
"3775928.0","5574.0"
"3775929.0","7143.0"
"3775930.0","8768.0"
"3775931.0","10435.0"
"3775932.0","11897.0"
"3775933.0","12879.0"
"3775934.0","13243.0"
"3775935.0","13126.0"
"3775936.0","12457.0"
"3775937.0","11272.0"
"3775938.0","9736.0"
"3775939.0","8102.0"
"3775940.0","6137.0"
"3775941.0","4726.0"
"3775942.0","3678.0"
"3775943.0","3304.0"
"3775944.0","3374.0"
"3775945.0","3943.0"
"3775946.0","4951.0"
"3775947.0","6465.0"
"3775948.0","7969.0"
"3775949.0","9719.0"
"3775950.0","11342.0"
"3775951.0","12443.0"
"3775952.0","13187.0"
"3775953.0","13259.0"
"3775954.0","12888.0"
"3775955.0","11826.0"
"3775956.0","10470.0"
"3775957.0","8847.0"
"3775958.0","6988.0"
"3775959.0","5309.0"
"3775960.0","4108.0"
"3775961.0","3376.0"
"3775962.0","3167.0"
"3775963.0","3560.0"
"3775964.0","4317.0"
"3775965.0","5675.0"
"3775966.0","7139.0"
"3775967.0","8925.0"
"3775968.0","10556.0"
"3775969.0","12016.0"
"3775970.0","12911.0"
"3775971.0","13237.0"
"3775972.0","13003.0"
"3775973.0","12282.0"
