Sample:float,Data:float
"666600.0","9337.0"
"666601.0","7608.0"
"666602.0","6048.0"
"666603.0","4707.0"
"666604.0","3779.0"
"666605.0","3213.0"
"666606.0","3212.0"
"666607.0","3943.0"
"666608.0","5215.0"
"666609.0","6491.0"
"666610.0","8221.0"
"666611.0","9853.0"
"666612.0","11399.0"
"666613.0","12353.0"
"666614.0","12973.0"
"666615.0","12994.0"
"666616.0","12571.0"
"666617.0","11662.0"
"666618.0","10156.0"
"666619.0","8581.0"
"666620.0","6979.0"
"666621.0","5564.0"
"666622.0","4355.0"
"666623.0","3529.0"
"666624.0","3408.0"
"666625.0","3826.0"
"666626.0","4595.0"
"666627.0","6027.0"
"666628.0","7618.0"
"666629.0","9341.0"
"666630.0","10755.0"
"666631.0","12119.0"
"666632.0","12858.0"
"666633.0","13276.0"
"666634.0","13168.0"
"666635.0","12212.0"
"666636.0","11101.0"
"666637.0","9503.0"
"666638.0","7963.0"
"666639.0","6283.0"
"666640.0","4917.0"
"666641.0","4035.0"
"666642.0","3670.0"
"666643.0","3890.0"
"666644.0","4575.0"
"666645.0","5619.0"
"666646.0","7051.0"
"666647.0","8854.0"
"666648.0","10478.0"
"666649.0","11764.0"
"666650.0","12914.0"
"666651.0","13399.0"
"666652.0","13378.0"
"666653.0","12779.0"
"666654.0","11818.0"
"666655.0","10382.0"
"666656.0","8860.0"
"666657.0","7198.0"
"666658.0","5862.0"
"666659.0","4686.0"
"666660.0","4086.0"
"666661.0","3889.0"
"666662.0","4376.0"
"666663.0","5316.0"
"666664.0","6730.0"
"666665.0","8245.0"
"666666.0","9824.0"
"666667.0","11405.0"
"666668.0","12524.0"
"666669.0","13240.0"
"666670.0","13436.0"
"666671.0","13131.0"
"666672.0","12332.0"
"666673.0","11026.0"
"666674.0","9634.0"
"666675.0","8187.0"
"666676.0","6689.0"
"666677.0","5485.0"
"666678.0","4564.0"
"666679.0","4234.0"
"666680.0","4455.0"
"666681.0","5093.0"
"666682.0","6204.0"
"666683.0","7626.0"
"666684.0","9271.0"
"666685.0","10714.0"
"666686.0","12076.0"
"666687.0","13188.0"
"666688.0","13324.0"
"666689.0","13379.0"
"666690.0","12674.0"
"666691.0","11706.0"
"666692.0","10260.0"
"666693.0","8860.0"
"666694.0","7383.0"
"666695.0","5951.0"
"666696.0","5030.0"
"666697.0","4507.0"
"666698.0","4499.0"
"666699.0","4974.0"
"666700.0","5815.0"
"666701.0","7164.0"
"666702.0","8574.0"
"666703.0","10094.0"
"666704.0","11696.0"
"666705.0","12668.0"
"666706.0","13285.0"
"666707.0","13400.0"
"666708.0","13105.0"
"666709.0","12139.0"
"666710.0","11133.0"
"666711.0","9666.0"
"666712.0","8082.0"
"666713.0","6772.0"
"666714.0","5401.0"
"666715.0","4638.0"
"666716.0","4415.0"
"666717.0","4678.0"
"666718.0","5455.0"
"666719.0","6571.0"
"666720.0","7987.0"
"666721.0","9360.0"
"666722.0","10875.0"
"666723.0","12114.0"
"666724.0","12860.0"
"666725.0","13175.0"
"666726.0","13238.0"
"666727.0","12595.0"
"666728.0","11652.0"
"666729.0","10303.0"
"666730.0","8726.0"
"666731.0","7325.0"
"666732.0","6023.0"
"666733.0","5032.0"
"666734.0","4513.0"
"666735.0","4608.0"
"666736.0","5036.0"
"666737.0","6038.0"
"666738.0","7263.0"
"666739.0","8656.0"
"666740.0","10272.0"
"666741.0","11484.0"
"666742.0","12688.0"
"666743.0","13169.0"
"666744.0","13184.0"
"666745.0","12890.0"
"666746.0","11925.0"
"666747.0","10760.0"
"666748.0","9300.0"
"666749.0","7604.0"
"666750.0","6225.0"
"666751.0","5139.0"
"666752.0","4497.0"
"666753.0","4368.0"
"666754.0","4755.0"
"666755.0","5431.0"
"666756.0","6673.0"
"666757.0","7895.0"
"666758.0","9356.0"
"666759.0","10746.0"
"666760.0","11860.0"
"666761.0","12674.0"
"666762.0","13176.0"
"666763.0","12802.0"
"666764.0","12236.0"
"666765.0","11045.0"
"666766.0","9868.0"
"666767.0","8395.0"
"666768.0","6837.0"
"666769.0","5498.0"
"666770.0","4585.0"
"666771.0","3886.0"
"666772.0","4059.0"
"666773.0","4820.0"
"666774.0","5916.0"
"666775.0","7078.0"
"666776.0","8536.0"
"666777.0","10056.0"
"666778.0","11265.0"
"666779.0","12220.0"
"666780.0","12768.0"
"666781.0","12733.0"
"666782.0","12332.0"
"666783.0","11437.0"
"666784.0","10080.0"
"666785.0","8595.0"
"666786.0","7164.0"
"666787.0","5759.0"
"666788.0","4577.0"
"666789.0","3880.0"
"666790.0","3686.0"
"666791.0","4055.0"
"666792.0","4900.0"
"666793.0","6121.0"
"666794.0","7595.0"
"666795.0","9065.0"
"666796.0","10435.0"
"666797.0","11581.0"
"666798.0","12430.0"
"666799.0","12656.0"
"666800.0","12395.0"
"666801.0","11798.0"
"666802.0","10603.0"
"666803.0","9242.0"
"666804.0","7796.0"
"666805.0","6323.0"
"666806.0","5068.0"
"666807.0","4151.0"
"666808.0","3709.0"
"666809.0","3786.0"
"666810.0","4486.0"
"666811.0","5629.0"
"666812.0","6985.0"
"666813.0","8429.0"
"666814.0","9776.0"
"666815.0","10910.0"
"666816.0","11965.0"
"666817.0","12431.0"
"666818.0","12482.0"
"666819.0","12027.0"
"666820.0","10859.0"
"666821.0","9686.0"
"666822.0","8191.0"
"666823.0","6776.0"
"666824.0","5381.0"
"666825.0","4360.0"
"666826.0","3743.0"
"666827.0","3594.0"
"666828.0","4027.0"
"666829.0","4992.0"
"666830.0","6281.0"
"666831.0","7769.0"
"666832.0","9258.0"
"666833.0","10709.0"
"666834.0","11694.0"
"666835.0","12597.0"
"666836.0","12771.0"
"666837.0","12346.0"
"666838.0","11652.0"
"666839.0","10574.0"
"666840.0","9021.0"
"666841.0","7555.0"
"666842.0","6199.0"
"666843.0","4976.0"
"666844.0","4072.0"
"666845.0","3700.0"
"666846.0","3866.0"
"666847.0","4613.0"
"666848.0","5618.0"
"666849.0","7083.0"
"666850.0","8506.0"
"666851.0","9923.0"
"666852.0","11126.0"
"666853.0","11935.0"
"666854.0","12562.0"
"666855.0","12526.0"
"666856.0","11851.0"
"666857.0","10962.0"
"666858.0","9653.0"
"666859.0","8100.0"
"666860.0","6760.0"
