Sample:float,Data:float
"3568620.0","13276.0"
"3568621.0","13210.0"
"3568622.0","13134.0"
"3568623.0","12830.0"
"3568624.0","12329.0"
"3568625.0","11706.0"
"3568626.0","11235.0"
"3568627.0","10360.0"
"3568628.0","9625.0"
"3568629.0","8694.0"
"3568630.0","7886.0"
"3568631.0","6884.0"
"3568632.0","6130.0"
"3568633.0","5408.0"
"3568634.0","4592.0"
"3568635.0","4062.0"
"3568636.0","3537.0"
"3568637.0","3213.0"
"3568638.0","3024.0"
"3568639.0","2956.0"
"3568640.0","3145.0"
"3568641.0","3330.0"
"3568642.0","3733.0"
"3568643.0","4088.0"
"3568644.0","4782.0"
"3568645.0","5518.0"
"3568646.0","6342.0"
"3568647.0","7115.0"
"3568648.0","7987.0"
"3568649.0","8803.0"
"3568650.0","9734.0"
"3568651.0","10407.0"
"3568652.0","11198.0"
"3568653.0","11789.0"
"3568654.0","12378.0"
"3568655.0","12705.0"
"3568656.0","13155.0"
"3568657.0","13242.0"
"3568658.0","13172.0"
"3568659.0","12909.0"
"3568660.0","12634.0"
"3568661.0","12097.0"
"3568662.0","11816.0"
"3568663.0","11044.0"
"3568664.0","10298.0"
"3568665.0","9466.0"
"3568666.0","8649.0"
"3568667.0","7652.0"
"3568668.0","6769.0"
"3568669.0","6096.0"
"3568670.0","5163.0"
"3568671.0","4503.0"
"3568672.0","4023.0"
"3568673.0","3504.0"
"3568674.0","3200.0"
"3568675.0","2997.0"
"3568676.0","2991.0"
"3568677.0","3108.0"
"3568678.0","3436.0"
"3568679.0","3814.0"
"3568680.0","4262.0"
"3568681.0","4888.0"
"3568682.0","5721.0"
"3568683.0","6358.0"
"3568684.0","7266.0"
"3568685.0","8182.0"
"3568686.0","9042.0"
"3568687.0","9846.0"
"3568688.0","10644.0"
"3568689.0","11325.0"
"3568690.0","11976.0"
"3568691.0","12426.0"
"3568692.0","12946.0"
"3568693.0","13193.0"
"3568694.0","13145.0"
"3568695.0","13092.0"
"3568696.0","12973.0"
"3568697.0","12744.0"
"3568698.0","12264.0"
"3568699.0","11554.0"
"3568700.0","11029.0"
"3568701.0","10251.0"
"3568702.0","9424.0"
"3568703.0","8536.0"
"3568704.0","7722.0"
"3568705.0","6868.0"
"3568706.0","5853.0"
"3568707.0","5147.0"
"3568708.0","4557.0"
"3568709.0","3853.0"
"3568710.0","3547.0"
"3568711.0","3219.0"
"3568712.0","3091.0"
"3568713.0","3087.0"
"3568714.0","3116.0"
"3568715.0","3500.0"
"3568716.0","3927.0"
"3568717.0","4378.0"
"3568718.0","5054.0"
"3568719.0","5701.0"
"3568720.0","6651.0"
"3568721.0","7337.0"
"3568722.0","8268.0"
"3568723.0","9159.0"
"3568724.0","10041.0"
"3568725.0","10738.0"
"3568726.0","11430.0"
"3568727.0","11936.0"
"3568728.0","12596.0"
"3568729.0","12962.0"
"3568730.0","13130.0"
"3568731.0","13383.0"
"3568732.0","13312.0"
"3568733.0","12976.0"
"3568734.0","12579.0"
"3568735.0","12078.0"
"3568736.0","11531.0"
"3568737.0","10884.0"
"3568738.0","9997.0"
"3568739.0","9244.0"
