Sample:float,Data:float
"7569540.0","4450.0"
"7569541.0","3726.0"
"7569542.0","4146.0"
"7569543.0","5619.0"
"7569544.0","7683.0"
"7569545.0","9858.0"
"7569546.0","11688.0"
"7569547.0","12474.0"
"7569548.0","12156.0"
"7569549.0","10818.0"
"7569550.0","8749.0"
"7569551.0","6672.0"
"7569552.0","3359.0"
"7569553.0","4141.0"
"7569554.0","5867.0"
"7569555.0","8337.0"
"7569556.0","10607.0"
"7569557.0","12542.0"
"7569558.0","13104.0"
"7569559.0","12596.0"
"7569560.0","10945.0"
"7569561.0","8724.0"
"7569562.0","6309.0"
"7569563.0","4366.0"
"7569564.0","3434.0"
"7569565.0","3907.0"
"7569566.0","5161.0"
"7569567.0","7605.0"
"7569568.0","10047.0"
"7569569.0","11976.0"
"7569570.0","13206.0"
"7569571.0","13006.0"
"7569572.0","11666.0"
"7569573.0","9533.0"
"7569574.0","6977.0"
"7569575.0","4749.0"
"7569576.0","3558.0"
"7569577.0","3590.0"
"7569578.0","4670.0"
"7569579.0","6952.0"
"7569580.0","9533.0"
"7569581.0","11621.0"
"7569582.0","13054.0"
"7569583.0","13278.0"
"7569584.0","12151.0"
"7569585.0","10294.0"
"7569586.0","7643.0"
"7569587.0","5389.0"
"7569588.0","3769.0"
"7569589.0","3395.0"
"7569590.0","4150.0"
"7569591.0","6128.0"
"7569592.0","8624.0"
"7569593.0","10831.0"
"7569594.0","12705.0"
"7569595.0","13196.0"
"7569596.0","12638.0"
"7569597.0","10865.0"
"7569598.0","8510.0"
"7569599.0","5985.0"
"7569600.0","4022.0"
"7569601.0","3303.0"
"7569602.0","3717.0"
"7569603.0","5537.0"
"7569604.0","7889.0"
"7569605.0","10127.0"
"7569606.0","12372.0"
"7569607.0","13246.0"
"7569608.0","12865.0"
"7569609.0","11475.0"
"7569610.0","9000.0"
"7569611.0","6498.0"
"7569612.0","4580.0"
"7569613.0","3390.0"
"7569614.0","3463.0"
"7569615.0","4816.0"
"7569616.0","7077.0"
"7569617.0","9555.0"
"7569618.0","11709.0"
"7569619.0","13091.0"
"7569620.0","12870.0"
"7569621.0","11816.0"
"7569622.0","9783.0"
"7569623.0","7139.0"
"7569624.0","4860.0"
"7569625.0","3600.0"
"7569626.0","3385.0"
"7569627.0","4221.0"
"7569628.0","6316.0"
"7569629.0","8795.0"
"7569630.0","11393.0"
"7569631.0","12747.0"
"7569632.0","13182.0"
"7569633.0","12428.0"
"7569634.0","10554.0"
"7569635.0","7915.0"
"7569636.0","5526.0"
"7569637.0","3913.0"
"7569638.0","3261.0"
"7569639.0","3728.0"
"7569640.0","5685.0"
"7569641.0","7975.0"
"7569642.0","10583.0"
"7569643.0","12475.0"
"7569644.0","13236.0"
"7569645.0","12838.0"
"7569646.0","11134.0"
"7569647.0","8990.0"
"7569648.0","6326.0"
"7569649.0","4545.0"
"7569650.0","3453.0"
"7569651.0","3688.0"
"7569652.0","5225.0"
"7569653.0","7392.0"
