Sample:float,Data:float
"5591852.0","0.0"
"5591853.0","0.0"
"5591854.0","3.0"
"5591855.0","9.0"
"5591856.0","19.0"
"5591857.0","36.0"
"5591858.0","61.0"
"5591859.0","94.0"
"5591860.0","139.0"
"5591861.0","197.0"
"5591862.0","269.0"
"5591863.0","356.0"
"5591864.0","462.0"
"5591865.0","586.0"
"5591866.0","730.0"
"5591867.0","895.0"
"5591868.0","1081.0"
"5591869.0","1287.0"
"5591870.0","1512.0"
"5591871.0","1753.0"
"5591872.0","2009.0"
"5591873.0","2275.0"
"5591874.0","2545.0"
"5591875.0","2816.0"
"5591876.0","3079.0"
"5591877.0","3328.0"
"5591878.0","3556.0"
"5591879.0","3754.0"
"5591880.0","3916.0"
"5591881.0","4033.0"
"5591882.0","4102.0"
"5591883.0","4116.0"
"5591884.0","4075.0"
"5591885.0","3977.0"
"5591886.0","3826.0"
"5591887.0","3626.0"
"5591888.0","3386.0"
"5591889.0","3118.0"
"5591890.0","2835.0"
"5591891.0","2553.0"
"5591892.0","2288.0"
"5591893.0","2057.0"
"5591894.0","1876.0"
"5591895.0","1757.0"
"5591896.0","1708.0"
"5591897.0","1734.0"
"5591898.0","1831.0"
"5591899.0","1991.0"
"5591900.0","2200.0"
"5591901.0","2440.0"
"5591902.0","2689.0"
"5591903.0","2925.0"
"5591904.0","3126.0"
"5591905.0","3275.0"
"5591906.0","3364.0"
"5591907.0","3387.0"
"5591908.0","3351.0"
"5591909.0","3266.0"
"5591910.0","3151.0"
"5591911.0","3023.0"
"5591912.0","2900.0"
"5591913.0","2795.0"
"5591914.0","2714.0"
"5591915.0","2657.0"
"5591916.0","2615.0"
"5591917.0","2577.0"
"5591918.0","2529.0"
"5591919.0","2466.0"
"5591920.0","2387.0"
"5591921.0","2304.0"
"5591922.0","2238.0"
"5591923.0","2217.0"
"5591924.0","2266.0"
"5591925.0","2403.0"
"5591926.0","2628.0"
"5591927.0","2920.0"
"5591928.0","3238.0"
"5591929.0","3526.0"
"5591930.0","3723.0"
"5591931.0","3782.0"
"5591932.0","3678.0"
"5591933.0","3423.0"
"5591934.0","3063.0"
"5591935.0","2670.0"
"5591936.0","2327.0"
"5591937.0","2103.0"
"5591938.0","2037.0"
"5591939.0","2124.0"
"5591940.0","2319.0"
"5591941.0","2549.0"
"5591942.0","2738.0"
"5591943.0","2836.0"
"5591944.0","2830.0"
"5591945.0","2754.0"
"5591946.0","2669.0"
"5591947.0","2638.0"
"5591948.0","2698.0"
"5591949.0","2839.0"
"5591950.0","3008.0"
"5591951.0","3128.0"
"5591952.0","3134.0"
"5591953.0","3004.0"
"5591954.0","2777.0"
"5591955.0","2536.0"
"5591956.0","2376.0"
"5591957.0","2358.0"
"5591958.0","2478.0"
"5591959.0","2666.0"
"5591960.0","2821.0"
"5591961.0","2859.0"
"5591962.0","2767.0"
"5591963.0","2607.0"
"5591964.0","2496.0"
"5591965.0","2538.0"
"5591966.0","2765.0"
"5591967.0","3111.0"
"5591968.0","3437.0"
"5591969.0","3599.0"
"5591970.0","3523.0"
"5591971.0","3244.0"
"5591972.0","2887.0"
"5591973.0","2593.0"
"5591974.0","2444.0"
"5591975.0","2427.0"
"5591976.0","2458.0"
"5591977.0","2455.0"
"5591978.0","2399.0"
"5591979.0","2351.0"
"5591980.0","2398.0"
"5591981.0","2580.0"
"5591982.0","2839.0"
"5591983.0","3053.0"
"5591984.0","3111.0"
"5591985.0","3000.0"
"5591986.0","2811.0"
"5591987.0","2672.0"
"5591988.0","2648.0"
"5591989.0","2699.0"
"5591990.0","2718.0"
"5591991.0","2642.0"
"5591992.0","2522.0"
"5591993.0","2496.0"
"5591994.0","2670.0"
"5591995.0","3006.0"
"5591996.0","3327.0"
"5591997.0","3439.0"
"5591998.0","3286.0"
"5591999.0","2994.0"
"5592000.0","2771.0"
"5592001.0","2728.0"
"5592002.0","2800.0"
"5592003.0","2825.0"
"5592004.0","2714.0"
"5592005.0","2547.0"
"5592006.0","2486.0"
"5592007.0","2609.0"
"5592008.0","2811.0"
"5592009.0","2907.0"
"5592010.0","2822.0"
"5592011.0","2669.0"
"5592012.0","2631.0"
"5592013.0","2749.0"
"5592014.0","2861.0"
"5592015.0","2772.0"
"5592016.0","2479.0"
"5592017.0","2205.0"
"5592018.0","2187.0"
"5592019.0","2436.0"
"5592020.0","2739.0"
"5592021.0","2905.0"
"5592022.0","2966.0"
"5592023.0","3103.0"
"5592024.0","3373.0"
"5592025.0","3597.0"
"5592026.0","3545.0"
"5592027.0","3220.0"
"5592028.0","2870.0"
"5592029.0","2699.0"
"5592030.0","2629.0"
"5592031.0","2435.0"
"5592032.0","2069.0"
"5592033.0","1780.0"
"5592034.0","1823.0"
"5592035.0","2154.0"
"5592036.0","2498.0"
"5592037.0","2707.0"
"5592038.0","2919.0"
"5592039.0","3297.0"
"5592040.0","3717.0"
"5592041.0","3875.0"
"5592042.0","3677.0"
"5592043.0","3366.0"
"5592044.0","3185.0"
"5592045.0","3060.0"
"5592046.0","2779.0"
"5592047.0","2386.0"
"5592048.0","2180.0"
"5592049.0","2290.0"
"5592050.0","2472.0"
"5592051.0","2468.0"
"5592052.0","2381.0"
"5592053.0","2484.0"
"5592054.0","2750.0"
"5592055.0","2863.0"
"5592056.0","2711.0"
"5592057.0","2565.0"
"5592058.0","2638.0"
"5592059.0","2737.0"
"5592060.0","2607.0"
"5592061.0","2398.0"
"5592062.0","2438.0"
"5592063.0","2691.0"
"5592064.0","2816.0"
"5592065.0","2752.0"
"5592066.0","2809.0"
"5592067.0","3087.0"
"5592068.0","3262.0"
"5592069.0","3134.0"
"5592070.0","2975.0"
"5592071.0","3031.0"
"5592072.0","3081.0"
"5592073.0","2872.0"
"5592074.0","2633.0"
"5592075.0","2671.0"
"5592076.0","2802.0"
"5592077.0","2699.0"
"5592078.0","2516.0"
"5592079.0","2593.0"
"5592080.0","2780.0"
"5592081.0","2709.0"
"5592082.0","2496.0"
"5592083.0","2494.0"
"5592084.0","2587.0"
"5592085.0","2439.0"
"5592086.0","2215.0"
"5592087.0","2287.0"
"5592088.0","2531.0"
"5592089.0","2639.0"
"5592090.0","2773.0"
"5592091.0","3165.0"
"5592092.0","3524.0"
"5592093.0","3565.0"
"5592094.0","3569.0"
"5592095.0","3733.0"
"5592096.0","3689.0"
"5592097.0","3286.0"
"5592098.0","2953.0"
"5592099.0","2812.0"
"5592100.0","2473.0"
"5592101.0","1963.0"
"5592102.0","1730.0"
"5592103.0","1695.0"
"5592104.0","1515.0"
"5592105.0","1448.0"
"5592106.0","1807.0"
"5592107.0","2224.0"
"5592108.0","2446.0"
"5592109.0","2821.0"
"5592110.0","3332.0"
"5592111.0","3498.0"
"5592112.0","3450.0"
"5592113.0","3613.0"
"5592114.0","3702.0"
"5592115.0","3445.0"
"5592116.0","3304.0"
"5592117.0","3402.0"
"5592118.0","3254.0"
"5592119.0","2955.0"
"5592120.0","2913.0"
"5592121.0","2806.0"
"5592122.0","2426.0"
"5592123.0","2292.0"
"5592124.0","2414.0"
"5592125.0","2306.0"
"5592126.0","2231.0"
"5592127.0","2487.0"
"5592128.0","2566.0"
"5592129.0","2398.0"
"5592130.0","2488.0"
"5592131.0","2620.0"
"5592132.0","2520.0"
"5592133.0","2650.0"
"5592134.0","2960.0"
"5592135.0","2951.0"
"5592136.0","2940.0"
"5592137.0","3140.0"
"5592138.0","3062.0"
"5592139.0","2864.0"
"5592140.0","2918.0"
"5592141.0","2811.0"
"5592142.0","2576.0"
"5592143.0","2679.0"
"5592144.0","2716.0"
"5592145.0","2520.0"
"5592146.0","2637.0"
"5592147.0","2779.0"
"5592148.0","2619.0"
"5592149.0","2687.0"
"5592150.0","2849.0"
"5592151.0","2756.0"
"5592152.0","2900.0"
"5592153.0","3111.0"
"5592154.0","2946.0"
"5592155.0","2955.0"
"5592156.0","3067.0"
"5592157.0","2760.0"
"5592158.0","2578.0"
"5592159.0","2568.0"
"5592160.0","2287.0"
"5592161.0","2303.0"
"5592162.0","2591.0"
"5592163.0","2603.0"
"5592164.0","2816.0"
"5592165.0","3133.0"
"5592166.0","3096.0"
"5592167.0","3261.0"
"5592168.0","3446.0"
"5592169.0","3267.0"
"5592170.0","3310.0"
"5592171.0","3277.0"
"5592172.0","2909.0"
"5592173.0","2792.0"
"5592174.0","2522.0"
"5592175.0","2086.0"
"5592176.0","2060.0"
"5592177.0","1858.0"
"5592178.0","1655.0"
"5592179.0","1969.0"
"5592180.0","2166.0"
"5592181.0","2467.0"
"5592182.0","2937.0"
"5592183.0","2974.0"
"5592184.0","3127.0"
"5592185.0","3268.0"
"5592186.0","3066.0"
"5592187.0","3195.0"
"5592188.0","3236.0"
"5592189.0","3160.0"
"5592190.0","3412.0"
"5592191.0","3322.0"
"5592192.0","3217.0"
"5592193.0","3205.0"
"5592194.0","2769.0"
"5592195.0","2585.0"
"5592196.0","2398.0"
"5592197.0","2099.0"
"5592198.0","2232.0"
"5592199.0","2127.0"
"5592200.0","2109.0"
"5592201.0","2273.0"
"5592202.0","2081.0"
"5592203.0","2245.0"
"5592204.0","2373.0"
"5592205.0","2457.0"
"5592206.0","2939.0"
"5592207.0","3091.0"
"5592208.0","3456.0"
"5592209.0","3790.0"
"5592210.0","3670.0"
"5592211.0","3744.0"
"5592212.0","3346.0"
"5592213.0","2953.0"
"5592214.0","2772.0"
"5592215.0","2296.0"
"5592216.0","2240.0"
"5592217.0","2075.0"
"5592218.0","2067.0"
"5592219.0","2361.0"
"5592220.0","2361.0"
"5592221.0","2701.0"
"5592222.0","2784.0"
"5592223.0","2841.0"
"5592224.0","2993.0"
"5592225.0","2810.0"
