Sample:float,Data:float
"918.0","0.0"
"919.0","3.0"
"920.0","14.0"
"921.0","31.0"
"922.0","56.0"
"923.0","87.0"
"924.0","125.0"
"925.0","170.0"
"926.0","222.0"
"927.0","280.0"
"928.0","343.0"
"929.0","411.0"
"930.0","484.0"
"931.0","559.0"
"932.0","636.0"
"933.0","712.0"
"934.0","786.0"
"935.0","855.0"
"936.0","916.0"
"937.0","966.0"
"938.0","1003.0"
"939.0","1022.0"
"940.0","1020.0"
"941.0","994.0"
"942.0","942.0"
"943.0","863.0"
"944.0","754.0"
"945.0","617.0"
"946.0","453.0"
"947.0","266.0"
"948.0","63.0"
"949.0","-151.0"
"950.0","-364.0"
"951.0","-566.0"
"952.0","-745.0"
"953.0","-889.0"
"954.0","-985.0"
"955.0","-1024.0"
"956.0","-998.0"
"957.0","-903.0"
"958.0","-740.0"
"959.0","-519.0"
"960.0","-250.0"
"961.0","45.0"
"962.0","343.0"
"963.0","617.0"
"964.0","837.0"
"965.0","979.0"
"966.0","1023.0"
"967.0","957.0"
"968.0","782.0"
"969.0","511.0"
"970.0","174.0"
"971.0","-192.0"
"972.0","-540.0"
"973.0","-820.0"
"974.0","-989.0"
"975.0","-1017.0"
"976.0","-891.0"
"977.0","-623.0"
"978.0","-250.0"
"979.0","170.0"
"980.0","568.0"
"981.0","870.0"
"982.0","1016.0"
"983.0","971.0"
"984.0","735.0"
"985.0","346.0"
"986.0","-119.0"
"987.0","-566.0"
"988.0","-894.0"
"989.0","-1024.0"
"990.0","-917.0"
"991.0","-589.0"
"992.0","-112.0"
"993.0","399.0"
"994.0","812.0"
"995.0","1015.0"
"996.0","942.0"
"997.0","605.0"
"998.0","90.0"
"999.0","-457.0"
"1000.0","-873.0"
"1001.0","-1024.0"
"1002.0","-854.0"
"1003.0","-406.0"
"1004.0","181.0"
"1005.0","712.0"
"1006.0","1003.0"
"1007.0","941.0"
"1008.0","539.0"
"1009.0","-67.0"
"1010.0","-653.0"
"1011.0","-994.0"
"1012.0","-946.0"
"1013.0","-519.0"
"1014.0","125.0"
"1015.0","722.0"
"1016.0","1016.0"
"1017.0","870.0"
"1018.0","336.0"
"1019.0","-354.0"
"1020.0","-887.0"
"1021.0","-1008.0"
"1022.0","-648.0"
"1023.0","31.0"
"1024.0","700.0"
"1025.0","1019.0"
"1026.0","817.0"
"1027.0","184.0"
"1028.0","-551.0"
"1029.0","-994.0"
"1030.0","-891.0"
"1031.0","-287.0"
"1032.0","484.0"
"1033.0","979.0"
"1034.0","900.0"
"1035.0","280.0"
"1036.0","-516.0"
"1037.0","-997.0"
"1038.0","-854.0"
"1039.0","-164.0"
"1040.0","636.0"
"1041.0","1022.0"
"1042.0","725.0"
"1043.0","-67.0"
"1044.0","-818.0"
"1045.0","-1000.0"
"1046.0","-473.0"
"1047.0","399.0"
"1048.0","982.0"
"1049.0","839.0"
"1050.0","62.0"
"1051.0","-767.0"
"1052.0","-1006.0"
"1053.0","-457.0"
"1054.0","459.0"
"1055.0","1009.0"
"1056.0","735.0"
"1057.0","-151.0"
"1058.0","-914.0"
"1059.0","-903.0"
"1060.0","-112.0"
"1061.0","779.0"
"1062.0","984.0"
"1063.0","307.0"
"1064.0","-653.0"
"1065.0","-1017.0"
"1066.0","-435.0"
"1067.0","559.0"
"1068.0","1023.0"
"1069.0","499.0"
"1070.0","-515.0"
"1071.0","-1024.0"
"1072.0","-509.0"
"1073.0","524.0"
"1074.0","1023.0"
"1075.0","462.0"
"1076.0","-586.0"
"1077.0","-1017.0"
"1078.0","-357.0"
"1079.0","692.0"
