Sample:float,Data:float
"4792102.0","323.0"
"4792103.0","633.0"
"4792104.0","911.0"
"4792105.0","1135.0"
"4792106.0","1284.0"
"4792107.0","1344.0"
"4792108.0","1306.0"
"4792109.0","1168.0"
"4792110.0","937.0"
"4792111.0","640.0"
"4792112.0","302.0"
"4792113.0","-40.0"
"4792114.0","-350.0"
"4792115.0","-594.0"
"4792116.0","-739.0"
"4792117.0","-774.0"
"4792118.0","-699.0"
"4792119.0","-516.0"
"4792120.0","-243.0"
"4792121.0","93.0"
"4792122.0","460.0"
"4792123.0","805.0"
"4792124.0","1077.0"
"4792125.0","1240.0"
"4792126.0","1261.0"
"4792127.0","1132.0"
"4792128.0","877.0"
"4792129.0","536.0"
"4792130.0","167.0"
"4792131.0","-162.0"
"4792132.0","-389.0"
"4792133.0","-470.0"
"4792134.0","-389.0"
"4792135.0","-165.0"
"4792136.0","148.0"
"4792137.0","479.0"
"4792138.0","744.0"
"4792139.0","873.0"
"4792140.0","827.0"
"4792141.0","608.0"
"4792142.0","254.0"
"4792143.0","-148.0"
"4792144.0","-503.0"
"4792145.0","-724.0"
"4792146.0","-733.0"
"4792147.0","-511.0"
"4792148.0","-104.0"
"4792149.0","395.0"
"4792150.0","848.0"
"4792151.0","1140.0"
"4792152.0","1199.0"
"4792153.0","1022.0"
"4792154.0","666.0"
"4792155.0","260.0"
"4792156.0","-57.0"
"4792157.0","-181.0"
"4792158.0","-85.0"
"4792159.0","168.0"
"4792160.0","455.0"
"4792161.0","644.0"
"4792162.0","645.0"
"4792163.0","438.0"
"4792164.0","104.0"
"4792165.0","-224.0"
"4792166.0","-400.0"
"4792167.0","-347.0"
"4792168.0","-90.0"
"4792169.0","259.0"
"4792170.0","545.0"
"4792171.0","643.0"
"4792172.0","520.0"
"4792173.0","259.0"
"4792174.0","15.0"
"4792175.0","-64.0"
"4792176.0","77.0"
"4792177.0","373.0"
"4792178.0","662.0"
"4792179.0","781.0"
"4792180.0","661.0"
"4792181.0","369.0"
"4792182.0","68.0"
"4792183.0","-73.0"
"4792184.0","10.0"
"4792185.0","246.0"
"4792186.0","464.0"
"4792187.0","508.0"
"4792188.0","349.0"
"4792189.0","103.0"
"4792190.0","-54.0"
"4792191.0","-13.0"
"4792192.0","179.0"
"4792193.0","343.0"
"4792194.0","303.0"
"4792195.0","39.0"
"4792196.0","-285.0"
"4792197.0","-421.0"
"4792198.0","-215.0"
"4792199.0","248.0"
"4792200.0","697.0"
"4792201.0","855.0"
"4792202.0","655.0"
"4792203.0","295.0"
"4792204.0","89.0"
"4792205.0","218.0"
"4792206.0","574.0"
"4792207.0","852.0"
"4792208.0","805.0"
"4792209.0","458.0"
"4792210.0","74.0"
"4792211.0","-66.0"
"4792212.0","77.0"
"4792213.0","278.0"
"4792214.0","269.0"
"4792215.0","7.0"
"4792216.0","-269.0"
"4792217.0","-282.0"
"4792218.0","0.0"
"4792219.0","307.0"
"4792220.0","330.0"
"4792221.0","47.0"
"4792222.0","-222.0"
"4792223.0","-130.0"
"4792224.0","331.0"
"4792225.0","816.0"
"4792226.0","966.0"
"4792227.0","776.0"
"4792228.0","563.0"
"4792229.0","587.0"
"4792230.0","747.0"
"4792231.0","711.0"
"4792232.0","327.0"
"4792233.0","-158.0"
"4792234.0","-377.0"
"4792235.0","-266.0"
"4792236.0","-122.0"
"4792237.0","-220.0"
"4792238.0","-449.0"
"4792239.0","-439.0"
"4792240.0","-56.0"
"4792241.0","385.0"
"4792242.0","496.0"
"4792243.0","321.0"
"4792244.0","295.0"
"4792245.0","659.0"
"4792246.0","1104.0"
"4792247.0","1136.0"
"4792248.0","719.0"
"4792249.0","309.0"
"4792250.0","235.0"
"4792251.0","276.0"
"4792252.0","45.0"
"4792253.0","-382.0"
"4792254.0","-516.0"
"4792255.0","-169.0"
"4792256.0","239.0"
"4792257.0","260.0"
"4792258.0","57.0"
"4792259.0","124.0"
"4792260.0","500.0"
"4792261.0","696.0"
"4792262.0","455.0"
"4792263.0","182.0"
"4792264.0","302.0"
"4792265.0","572.0"
"4792266.0","455.0"
"4792267.0","14.0"
"4792268.0","-170.0"
"4792269.0","83.0"
"4792270.0","273.0"
"4792271.0","96.0"
"4792272.0","-35.0"
"4792273.0","283.0"
"4792274.0","678.0"
"4792275.0","583.0"
"4792276.0","172.0"
"4792277.0","54.0"
"4792278.0","239.0"
"4792279.0","219.0"
"4792280.0","-38.0"
"4792281.0","-22.0"
"4792282.0","294.0"
"4792283.0","335.0"
"4792284.0","-1.0"
"4792285.0","-87.0"
"4792286.0","306.0"
"4792287.0","571.0"
"4792288.0","398.0"
"4792289.0","316.0"
"4792290.0","609.0"
"4792291.0","718.0"
"4792292.0","350.0"
"4792293.0","82.0"
"4792294.0","228.0"
"4792295.0","256.0"
"4792296.0","-78.0"
"4792297.0","-202.0"
"4792298.0","83.0"
"4792299.0","192.0"
"4792300.0","29.0"
"4792301.0","189.0"
"4792302.0","584.0"
"4792303.0","499.0"
"4792304.0","110.0"
"4792305.0","185.0"
"4792306.0","499.0"
"4792307.0","351.0"
"4792308.0","86.0"
"4792309.0","305.0"
"4792310.0","501.0"
"4792311.0","175.0"
"4792312.0","-39.0"
"4792313.0","198.0"
"4792314.0","206.0"
"4792315.0","-79.0"
"4792316.0","36.0"
"4792317.0","313.0"
"4792318.0","122.0"
"4792319.0","-20.0"
"4792320.0","342.0"
"4792321.0","467.0"
"4792322.0","153.0"
"4792323.0","246.0"
"4792324.0","612.0"
"4792325.0","428.0"
"4792326.0","134.0"
"4792327.0","324.0"
"4792328.0","350.0"
"4792329.0","52.0"
"4792330.0","163.0"
"4792331.0","365.0"
"4792332.0","56.0"
"4792333.0","-44.0"
"4792334.0","322.0"
"4792335.0","306.0"
"4792336.0","132.0"
"4792337.0","416.0"
"4792338.0","428.0"
"4792339.0","1.0"
"4792340.0","90.0"
"4792341.0","335.0"
"4792342.0","19.0"
"4792343.0","-73.0"
"4792344.0","188.0"
"4792345.0","-7.0"
"4792346.0","-72.0"
"4792347.0","417.0"
"4792348.0","472.0"
"4792349.0","310.0"
"4792350.0","667.0"
"4792351.0","727.0"
"4792352.0","431.0"
"4792353.0","619.0"
"4792354.0","573.0"
"4792355.0","36.0"
"4792356.0","36.0"
"4792357.0","110.0"
"4792358.0","-232.0"
"4792359.0","-117.0"
"4792360.0","48.0"
"4792361.0","-218.0"
"4792362.0","23.0"
"4792363.0","327.0"
"4792364.0","54.0"
"4792365.0","187.0"
"4792366.0","440.0"
"4792367.0","239.0"
"4792368.0","425.0"
"4792369.0","491.0"
"4792370.0","-20.0"
"4792371.0","20.0"
"4792372.0","178.0"
"4792373.0","35.0"
"4792374.0","456.0"
"4792375.0","627.0"
"4792376.0","327.0"
"4792377.0","588.0"
"4792378.0","554.0"
"4792379.0","253.0"
"4792380.0","527.0"
"4792381.0","357.0"
"4792382.0","96.0"
"4792383.0","318.0"
"4792384.0","-23.0"
"4792385.0","-179.0"
"4792386.0","-19.0"
"4792387.0","-462.0"
"4792388.0","-301.0"
"4792389.0","119.0"
"4792390.0","5.0"
"4792391.0","433.0"
"4792392.0","523.0"
"4792393.0","229.0"
"4792394.0","632.0"
"4792395.0","560.0"
"4792396.0","430.0"
"4792397.0","679.0"
"4792398.0","342.0"
"4792399.0","372.0"
"4792400.0","347.0"
"4792401.0","-195.0"
"4792402.0","-180.0"
"4792403.0","-296.0"
"4792404.0","-116.0"
"4792405.0","440.0"
"4792406.0","363.0"
"4792407.0","669.0"
"4792408.0","723.0"
"4792409.0","404.0"
"4792410.0","539.0"
"4792411.0","54.0"
"4792412.0","-29.0"
"4792413.0","140.0"
"4792414.0","-305.0"
"4792415.0","-217.0"
"4792416.0","-482.0"
"4792417.0","-547.0"
"4792418.0","-115.0"
"4792419.0","-175.0"
"4792420.0","335.0"
"4792421.0","574.0"
"4792422.0","792.0"
"4792423.0","1225.0"
"4792424.0","920.0"
"4792425.0","1066.0"
"4792426.0","806.0"
"4792427.0","580.0"
"4792428.0","608.0"
"4792429.0","-92.0"
"4792430.0","-73.0"
"4792431.0","-340.0"
"4792432.0","-448.0"
"4792433.0","-267.0"
"4792434.0","-600.0"
"4792435.0","-268.0"
"4792436.0","-274.0"
"4792437.0","179.0"
"4792438.0","486.0"
"4792439.0","312.0"
"4792440.0","661.0"
"4792441.0","476.0"
"4792442.0","810.0"
"4792443.0","663.0"
"4792444.0","489.0"
"4792445.0","437.0"
"4792446.0","-70.0"
"4792447.0","50.0"
"4792448.0","-377.0"
"4792449.0","-156.0"
"4792450.0","-116.0"
"4792451.0","46.0"
"4792452.0","379.0"
"4792453.0","169.0"
"4792454.0","538.0"
"4792455.0","268.0"
"4792456.0","565.0"
"4792457.0","404.0"
"4792458.0","445.0"
"4792459.0","491.0"
"4792460.0","188.0"
"4792461.0","339.0"
"4792462.0","-49.0"
"4792463.0","251.0"
"4792464.0","-22.0"
"4792465.0","187.0"
"4792466.0","-61.0"
"4792467.0","-98.0"
"4792468.0","-42.0"
"4792469.0","-110.0"
"4792470.0","245.0"
"4792471.0","66.0"
"4792472.0","553.0"
"4792473.0","324.0"
"4792474.0","670.0"
"4792475.0","357.0"
"4792476.0","386.0"
"4792477.0","108.0"
"4792478.0","141.0"
"4792479.0","255.0"
"4792480.0","257.0"
"4792481.0","380.0"
"4792482.0","101.0"
"4792483.0","319.0"
"4792484.0","4.0"
"4792485.0","246.0"
"4792486.0","-106.0"
"4792487.0","284.0"
"4792488.0","83.0"
"4792489.0","457.0"
"4792490.0","78.0"
"4792491.0","171.0"
"4792492.0","-96.0"
"4792493.0","148.0"
"4792494.0","124.0"
"4792495.0","289.0"
"4792496.0","352.0"
"4792497.0","559.0"
"4792498.0","709.0"
"4792499.0","568.0"
"4792500.0","433.0"
"4792501.0","85.0"
"4792502.0","155.0"
"4792503.0","62.0"
"4792504.0","101.0"
"4792505.0","-293.0"
"4792506.0","-172.0"
"4792507.0","-308.0"
"4792508.0","-23.0"
"4792509.0","-205.0"
"4792510.0","31.0"
"4792511.0","8.0"
"4792512.0","540.0"
"4792513.0","585.0"
"4792514.0","902.0"
"4792515.0","671.0"
"4792516.0","877.0"
"4792517.0","598.0"
"4792518.0","588.0"
"4792519.0","88.0"
"4792520.0","-49.0"
"4792521.0","-343.0"
"4792522.0","-350.0"
"4792523.0","-474.0"
"4792524.0","-454.0"
"4792525.0","-334.0"
"4792526.0","-90.0"
"4792527.0","200.0"
"4792528.0","347.0"
"4792529.0","680.0"
"4792530.0","795.0"
"4792531.0","1110.0"
"4792532.0","898.0"
"4792533.0","1098.0"
"4792534.0","747.0"
"4792535.0","820.0"
"4792536.0","129.0"
"4792537.0","-35.0"
"4792538.0","-749.0"
"4792539.0","-613.0"
"4792540.0","-895.0"
"4792541.0","-601.0"
"4792542.0","-646.0"
"4792543.0","-267.0"
"4792544.0","15.0"
"4792545.0","371.0"
"4792546.0","771.0"
"4792547.0","861.0"
"4792548.0","1277.0"
"4792549.0","991.0"
"4792550.0","1095.0"
"4792551.0","416.0"
"4792552.0","365.0"
"4792553.0","-177.0"
"4792554.0","-160.0"
"4792555.0","-442.0"
"4792556.0","-513.0"
"4792557.0","-392.0"
"4792558.0","-306.0"
"4792559.0","307.0"
"4792560.0","204.0"
"4792561.0","408.0"
"4792562.0","518.0"
"4792563.0","483.0"
"4792564.0","372.0"
"4792565.0","240.0"
"4792566.0","21.0"
"4792567.0","-115.0"
"4792568.0","-222.0"
"4792569.0","-434.0"
"4792570.0","-431.0"
"4792571.0","-280.0"
"4792572.0","-118.0"
"4792573.0","174.0"
"4792574.0","528.0"
"4792575.0","775.0"
"4792576.0","979.0"
"4792577.0","1075.0"
"4792578.0","944.0"
"4792579.0","733.0"
"4792580.0","343.0"
"4792581.0","-190.0"
"4792582.0","-611.0"
"4792583.0","-961.0"
"4792584.0","-1158.0"
"4792585.0","-1159.0"
"4792586.0","-1124.0"
