Sample:float,Data:float
"1.52672E7","6602.0"
"1.5267201E7","6626.0"
"1.5267202E7","7395.0"
"1.5267203E7","8325.0"
"1.5267204E7","9124.0"
"1.5267205E7","9245.0"
"1.5267206E7","8696.0"
"1.5267207E7","7639.0"
"1.5267208E7","6891.0"
"1.5267209E7","6691.0"
"1.526721E7","6973.0"
"1.5267211E7","7538.0"
"1.5267212E7","7777.0"
"1.5267213E7","7551.0"
"1.5267214E7","6872.0"
"1.5267215E7","6020.0"
"1.5267216E7","5598.0"
"1.5267217E7","5859.0"
"1.5267218E7","6499.0"
"1.5267219E7","7346.0"
"1.526722E7","8089.0"
"1.5267221E7","8710.0"
"1.5267222E7","8945.0"
"1.5267223E7","8940.0"
"1.5267224E7","9094.0"
"1.5267225E7","10077.0"
"1.5267226E7","11734.0"
"1.5267227E7","13242.0"
"1.5267228E7","13536.0"
"1.5267229E7","13239.0"
"1.526723E7","12256.0"
"1.5267231E7","11268.0"
"1.5267232E7","10343.0"
"1.5267233E7","9473.0"
"1.5267234E7","8754.0"
"1.5267235E7","8311.0"
"1.5267236E7","7916.0"
"1.5267237E7","7702.0"
"1.5267238E7","7288.0"
"1.5267239E7","6713.0"
"1.526724E7","5569.0"
"1.5267241E7","3408.0"
"1.5267242E7","1183.0"
"1.5267243E7","44.0"
"1.5267244E7","46.0"
"1.5267245E7","592.0"
"1.5267246E7","2312.0"
"1.5267247E7","3981.0"
"1.5267248E7","5371.0"
"1.5267249E7","6590.0"
"1.526725E7","7605.0"
"1.5267251E7","8640.0"
"1.5267252E7","10214.0"
"1.5267253E7","12181.0"
"1.5267254E7","13998.0"
"1.5267255E7","15012.0"
"1.5267256E7","14877.0"
"1.5267257E7","14232.0"
"1.5267258E7","13430.0"
"1.5267259E7","12614.0"
"1.526726E7","11879.0"
"1.5267261E7","11256.0"
"1.5267262E7","10641.0"
"1.5267263E7","10069.0"
"1.5267264E7","9216.0"
"1.5267265E7","7388.0"
"1.5267266E7","4806.0"
"1.5267267E7","2527.0"
"1.5267268E7","1012.0"
"1.5267269E7","446.0"
"1.526727E7","697.0"
"1.5267271E7","1396.0"
"1.5267272E7","2437.0"
"1.5267273E7","3678.0"
"1.5267274E7","4779.0"
"1.5267275E7","5796.0"
"1.5267276E7","7155.0"
"1.5267277E7","9262.0"
"1.5267278E7","11489.0"
"1.5267279E7","13156.0"
"1.526728E7","13867.0"
"1.5267281E7","14219.0"
"1.5267282E7","14418.0"
"1.5267283E7","14100.0"
"1.5267284E7","13707.0"
"1.5267285E7","12911.0"
"1.5267286E7","11876.0"
"1.5267287E7","10848.0"
"1.5267288E7","9857.0"
"1.5267289E7","8090.0"
"1.526729E7","5613.0"
"1.5267291E7","3425.0"
"1.5267292E7","2105.0"
"1.5267293E7","1463.0"
"1.5267294E7","1415.0"
"1.5267295E7","1636.0"
"1.5267296E7","2093.0"
"1.5267297E7","2980.0"
"1.5267298E7","4085.0"
"1.5267299E7","5325.0"
"1.52673E7","7009.0"
"1.5267301E7","9237.0"
"1.5267302E7","11449.0"
"1.5267303E7","12998.0"
"1.5267304E7","13400.0"
"1.5267305E7","13287.0"
"1.5267306E7","13389.0"
"1.5267307E7","13585.0"
"1.5267308E7","13581.0"
"1.5267309E7","13197.0"
"1.526731E7","12331.0"
"1.5267311E7","11233.0"
"1.5267312E7","9545.0"
"1.5267313E7","6859.0"
"1.5267314E7","4134.0"
"1.5267315E7","2458.0"
"1.5267316E7","1670.0"
"1.5267317E7","1650.0"
"1.5267318E7","1953.0"
"1.5267319E7","2000.0"
"1.526732E7","2143.0"
"1.5267321E7","2891.0"
"1.5267322E7","4388.0"
"1.5267323E7","6752.0"
"1.5267324E7","9348.0"
"1.5267325E7","11675.0"
"1.5267326E7","13148.0"
"1.5267327E7","13350.0"
"1.5267328E7","12723.0"
"1.5267329E7","12499.0"
"1.526733E7","12686.0"
"1.5267331E7","13066.0"
"1.5267332E7","13230.0"
"1.5267333E7","12998.0"
"1.5267334E7","11693.0"
"1.5267335E7","9271.0"
"1.5267336E7","6314.0"
"1.5267337E7","3783.0"
"1.5267338E7","2144.0"
"1.5267339E7","1814.0"
