Sample:float,Data:float
"1108480.0","0.0"
"1108481.0","9385.0"
"1108482.0","7551.0"
"1108483.0","1542.0"
"1108484.0","1052.0"
"1108485.0","5281.0"
"1108486.0","7556.0"
"1108487.0","6024.0"
"1108488.0","2735.0"
"1108489.0","2019.0"
"1108490.0","5000.0"
"1108491.0","6058.0"
"1108492.0","3208.0"
"1108493.0","1095.0"
"1108494.0","1167.0"
"1108495.0","4428.0"
"1108496.0","7538.0"
"1108497.0","5778.0"
"1108498.0","3056.0"
"1108499.0","4662.0"
"1108500.0","3648.0"
"1108501.0","5791.0"
"1108502.0","4812.0"
"1108503.0","4406.0"
"1108504.0","2561.0"
"1108505.0","2569.0"
"1108506.0","2007.0"
"1108507.0","1538.0"
"1108508.0","2297.0"
"1108509.0","3529.0"
"1108510.0","5193.0"
"1108511.0","5319.0"
"1108512.0","5592.0"
"1108513.0","3968.0"
"1108514.0","2596.0"
"1108515.0","1743.0"
"1108516.0","1600.0"
"1108517.0","2410.0"
"1108518.0","4107.0"
"1108519.0","5239.0"
"1108520.0","4813.0"
"1108521.0","2774.0"
"1108522.0","2165.0"
"1108523.0","3067.0"
"1108524.0","2904.0"
"1108525.0","2217.0"
"1108526.0","2979.0"
"1108527.0","2433.0"
"1108528.0","1999.0"
"1108529.0","1785.0"
"1108530.0","3163.0"
"1108531.0","4903.0"
"1108532.0","3675.0"
"1108533.0","1972.0"
"1108534.0","2013.0"
"1108535.0","1956.0"
"1108536.0","1229.0"
"1108537.0","1256.0"
"1108538.0","1640.0"
"1108539.0","3511.0"
"1108540.0","4851.0"
"1108541.0","4162.0"
"1108542.0","2218.0"
"1108543.0","1750.0"
"1108544.0","2304.0"
"1108545.0","2957.0"
"1108546.0","2649.0"
"1108547.0","2372.0"
"1108548.0","2178.0"
"1108549.0","2518.0"
"1108550.0","2659.0"
"1108551.0","3058.0"
"1108552.0","2474.0"
"1108553.0","1835.0"
"1108554.0","1754.0"
"1108555.0","1924.0"
"1108556.0","1411.0"
"1108557.0","1560.0"
"1108558.0","2293.0"
"1108559.0","2544.0"
"1108560.0","2535.0"
"1108561.0","2913.0"
"1108562.0","2776.0"
"1108563.0","2210.0"
"1108564.0","2039.0"
"1108565.0","2387.0"
"1108566.0","2574.0"
"1108567.0","1698.0"
"1108568.0","1288.0"
"1108569.0","1898.0"
"1108570.0","2530.0"
"1108571.0","2010.0"
"1108572.0","1497.0"
"1108573.0","1575.0"
"1108574.0","2134.0"
"1108575.0","2354.0"
"1108576.0","2174.0"
"1108577.0","2066.0"
"1108578.0","2170.0"
"1108579.0","2148.0"
"1108580.0","1645.0"
"1108581.0","2011.0"
"1108582.0","2301.0"
"1108583.0","2273.0"
"1108584.0","1436.0"
"1108585.0","1877.0"
"1108586.0","2422.0"
"1108587.0","2163.0"
"1108588.0","1699.0"
"1108589.0","1694.0"
"1108590.0","2000.0"
"1108591.0","1286.0"
"1108592.0","1730.0"
"1108593.0","1513.0"
"1108594.0","2208.0"
"1108595.0","2581.0"
"1108596.0","1617.0"
"1108597.0","2116.0"
"1108598.0","1628.0"
"1108599.0","1689.0"
"1108600.0","1419.0"
"1108601.0","1243.0"
"1108602.0","1940.0"
"1108603.0","2533.0"
"1108604.0","1908.0"
"1108605.0","1592.0"
"1108606.0","1834.0"
"1108607.0","2155.0"
"1108608.0","1444.0"
"1108609.0","1580.0"
"1108610.0","2447.0"
"1108611.0","2752.0"
"1108612.0","2393.0"
"1108613.0","1937.0"
"1108614.0","1768.0"
"1108615.0","1708.0"
"1108616.0","1995.0"
"1108617.0","1434.0"
"1108618.0","1467.0"
"1108619.0","2116.0"
"1108620.0","2070.0"
"1108621.0","2356.0"
"1108622.0","2202.0"
"1108623.0","2108.0"
"1108624.0","2082.0"
"1108625.0","1867.0"
"1108626.0","1717.0"
"1108627.0","1783.0"
"1108628.0","1141.0"
"1108629.0","1332.0"
"1108630.0","1985.0"
"1108631.0","2432.0"
"1108632.0","1868.0"
"1108633.0","1427.0"
"1108634.0","1770.0"
"1108635.0","2727.0"
"1108636.0","2909.0"
"1108637.0","2137.0"
"1108638.0","1515.0"
"1108639.0","1412.0"
"1108640.0","1906.0"
"1108641.0","1967.0"
"1108642.0","1639.0"
"1108643.0","1758.0"
"1108644.0","2146.0"
"1108645.0","2504.0"
"1108646.0","2458.0"
"1108647.0","2041.0"
"1108648.0","1558.0"
"1108649.0","1506.0"
"1108650.0","1567.0"
"1108651.0","1876.0"
"1108652.0","2112.0"
"1108653.0","1874.0"
"1108654.0","1471.0"
"1108655.0","1630.0"
"1108656.0","2367.0"
"1108657.0","1731.0"
"1108658.0","1535.0"
"1108659.0","1661.0"
"1108660.0","2016.0"
"1108661.0","2358.0"
"1108662.0","2239.0"
"1108663.0","2550.0"
"1108664.0","2200.0"
"1108665.0","1588.0"
"1108666.0","1382.0"
"1108667.0","1767.0"
"1108668.0","2504.0"
"1108669.0","1990.0"
"1108670.0","1420.0"
"1108671.0","1627.0"
"1108672.0","1904.0"
"1108673.0","2092.0"
"1108674.0","1847.0"
"1108675.0","1887.0"
"1108676.0","1773.0"
"1108677.0","1495.0"
"1108678.0","1478.0"
"1108679.0","1487.0"
"1108680.0","1711.0"
"1108681.0","2382.0"
"1108682.0","2419.0"
"1108683.0","1670.0"
"1108684.0","2088.0"
"1108685.0","1997.0"
"1108686.0","1577.0"
"1108687.0","1933.0"
"1108688.0","2428.0"
"1108689.0","2486.0"
"1108690.0","1870.0"
"1108691.0","1588.0"
"1108692.0","1988.0"
"1108693.0","2131.0"
"1108694.0","1489.0"
"1108695.0","1286.0"
"1108696.0","1840.0"
"1108697.0","2097.0"
"1108698.0","2005.0"
"1108699.0","1937.0"
"1108700.0","1967.0"
"1108701.0","2029.0"
"1108702.0","1864.0"
"1108703.0","2168.0"
"1108704.0","1770.0"
"1108705.0","1692.0"
"1108706.0","2045.0"
"1108707.0","1978.0"
"1108708.0","2440.0"
"1108709.0","2358.0"
"1108710.0","1656.0"
"1108711.0","1287.0"
"1108712.0","1805.0"
"1108713.0","1907.0"
"1108714.0","1907.0"
"1108715.0","1823.0"
"1108716.0","2021.0"
"1108717.0","2399.0"
"1108718.0","2153.0"
"1108719.0","1836.0"
"1108720.0","1721.0"
"1108721.0","1607.0"
"1108722.0","1605.0"
"1108723.0","1973.0"
"1108724.0","2155.0"
"1108725.0","2109.0"
"1108726.0","1311.0"
"1108727.0","1346.0"
"1108728.0","1944.0"
"1108729.0","2430.0"
"1108730.0","2133.0"
"1108731.0","1785.0"
"1108732.0","2044.0"
"1108733.0","2273.0"
"1108734.0","2057.0"
"1108735.0","1758.0"
"1108736.0","1560.0"
"1108737.0","1682.0"
"1108738.0","2205.0"
"1108739.0","2273.0"
"1108740.0","1963.0"
"1108741.0","1666.0"
"1108742.0","1873.0"
"1108743.0","2215.0"
"1108744.0","1734.0"
"1108745.0","1721.0"
"1108746.0","2158.0"
"1108747.0","2356.0"
"1108748.0","1845.0"
"1108749.0","1631.0"
"1108750.0","1673.0"
"1108751.0","1891.0"
"1108752.0","2001.0"
"1108753.0","1835.0"
"1108754.0","1728.0"
"1108755.0","1914.0"
"1108756.0","2393.0"
"1108757.0","2414.0"
"1108758.0","2098.0"
"1108759.0","1947.0"
"1108760.0","1855.0"
"1108761.0","1549.0"
"1108762.0","1856.0"
"1108763.0","2175.0"
"1108764.0","1813.0"
"1108765.0","1652.0"
"1108766.0","1842.0"
"1108767.0","2410.0"
"1108768.0","2310.0"
"1108769.0","1992.0"
"1108770.0","1788.0"
"1108771.0","1682.0"
"1108772.0","1763.0"
"1108773.0","1892.0"
"1108774.0","1799.0"
"1108775.0","1835.0"
"1108776.0","1878.0"
"1108777.0","1862.0"
"1108778.0","1884.0"
"1108779.0","1901.0"
"1108780.0","2013.0"
"1108781.0","1973.0"
"1108782.0","2147.0"
"1108783.0","2109.0"
"1108784.0","2242.0"
"1108785.0","1930.0"
"1108786.0","1621.0"
"1108787.0","1516.0"
"1108788.0","1647.0"
"1108789.0","2070.0"
"1108790.0","2357.0"
"1108791.0","2221.0"
"1108792.0","1731.0"
"1108793.0","1726.0"
"1108794.0","1797.0"
"1108795.0","1849.0"
"1108796.0","1856.0"
"1108797.0","1990.0"
"1108798.0","2340.0"
"1108799.0","2186.0"
"1108800.0","1730.0"
"1108801.0","1835.0"
"1108802.0","1879.0"
"1108803.0","1681.0"
"1108804.0","1864.0"
"1108805.0","2157.0"
"1108806.0","2161.0"
"1108807.0","2088.0"
"1108808.0","1975.0"
"1108809.0","2079.0"
"1108810.0","1754.0"
"1108811.0","1911.0"
"1108812.0","1832.0"
"1108813.0","1852.0"
"1108814.0","2013.0"
"1108815.0","1736.0"
"1108816.0","1594.0"
"1108817.0","1994.0"
"1108818.0","2237.0"
"1108819.0","1948.0"
"1108820.0","1629.0"
"1108821.0","1814.0"
"1108822.0","2247.0"
"1108823.0","2319.0"
"1108824.0","1747.0"
"1108825.0","1445.0"
"1108826.0","2052.0"
"1108827.0","2350.0"
"1108828.0","2327.0"
"1108829.0","1628.0"
"1108830.0","1641.0"
"1108831.0","2468.0"
"1108832.0","2230.0"
"1108833.0","1456.0"
"1108834.0","1577.0"
"1108835.0","2124.0"
"1108836.0","2545.0"
"1108837.0","2031.0"
"1108838.0","1771.0"
"1108839.0","1903.0"
"1108840.0","2002.0"
"1108841.0","1919.0"
"1108842.0","1868.0"
"1108843.0","1738.0"
"1108844.0","1614.0"
"1108845.0","1876.0"
"1108846.0","2151.0"
"1108847.0","2286.0"
"1108848.0","2005.0"
"1108849.0","2114.0"
"1108850.0","2087.0"
"1108851.0","1858.0"
"1108852.0","1787.0"
"1108853.0","1755.0"
"1108854.0","2040.0"
"1108855.0","2271.0"
"1108856.0","2238.0"
"1108857.0","2127.0"
"1108858.0","1528.0"
"1108859.0","1604.0"
"1108860.0","2124.0"
"1108861.0","2380.0"
"1108862.0","2096.0"
"1108863.0","1938.0"
"1108864.0","2087.0"
"1108865.0","2345.0"
"1108866.0","2075.0"
"1108867.0","1910.0"
"1108868.0","1678.0"
"1108869.0","1870.0"
"1108870.0","1955.0"
"1108871.0","1938.0"
"1108872.0","2164.0"
"1108873.0","2464.0"
"1108874.0","1972.0"
"1108875.0","1718.0"
"1108876.0","1802.0"
"1108877.0","2167.0"
"1108878.0","2200.0"
"1108879.0","2011.0"
"1108880.0","1787.0"
"1108881.0","1634.0"
"1108882.0","1775.0"
"1108883.0","2213.0"
"1108884.0","2280.0"
"1108885.0","1749.0"
"1108886.0","1575.0"
"1108887.0","2087.0"
"1108888.0","1894.0"
"1108889.0","1826.0"
"1108890.0","2174.0"
"1108891.0","2396.0"
"1108892.0","2357.0"
"1108893.0","2097.0"
"1108894.0","2128.0"
"1108895.0","1755.0"
"1108896.0","1755.0"
"1108897.0","1844.0"
"1108898.0","1730.0"
"1108899.0","1881.0"
"1108900.0","2133.0"
"1108901.0","2431.0"
"1108902.0","2205.0"
"1108903.0","1619.0"
"1108904.0","1953.0"
"1108905.0","2409.0"
"1108906.0","2405.0"
"1108907.0","1881.0"
"1108908.0","1678.0"
"1108909.0","1917.0"
"1108910.0","2319.0"
"1108911.0","2531.0"
"1108912.0","1805.0"
"1108913.0","1505.0"
"1108914.0","1685.0"
"1108915.0","1928.0"
"1108916.0","2272.0"
"1108917.0","2390.0"
"1108918.0","2134.0"
"1108919.0","2142.0"
"1108920.0","2143.0"
"1108921.0","1846.0"
"1108922.0","1767.0"
"1108923.0","1813.0"
"1108924.0","2040.0"
"1108925.0","2214.0"
"1108926.0","2200.0"
"1108927.0","2291.0"
"1108928.0","2272.0"
"1108929.0","2021.0"
"1108930.0","1638.0"
"1108931.0","1895.0"
"1108932.0","2343.0"
"1108933.0","2417.0"
"1108934.0","2112.0"
"1108935.0","1783.0"
"1108936.0","1828.0"
"1108937.0","2096.0"
"1108938.0","1975.0"
"1108939.0","1858.0"
"1108940.0","1771.0"
"1108941.0","2187.0"
"1108942.0","2278.0"
"1108943.0","2013.0"
"1108944.0","1870.0"
"1108945.0","2020.0"
"1108946.0","2467.0"
"1108947.0","2278.0"
"1108948.0","1944.0"
"1108949.0","1749.0"
"1108950.0","1994.0"
"1108951.0","2145.0"
"1108952.0","2091.0"
"1108953.0","2078.0"
"1108954.0","2086.0"
"1108955.0","2003.0"
"1108956.0","1930.0"
"1108957.0","2040.0"
"1108958.0","1980.0"
"1108959.0","2005.0"
"1108960.0","1923.0"
"1108961.0","2135.0"
"1108962.0","2222.0"
"1108963.0","2180.0"
"1108964.0","1959.0"
"1108965.0","1988.0"
"1108966.0","1939.0"
"1108967.0","2117.0"
"1108968.0","2157.0"
"1108969.0","1896.0"
"1108970.0","1815.0"
"1108971.0","2240.0"
"1108972.0","2080.0"
"1108973.0","2073.0"
"1108974.0","1911.0"
"1108975.0","2047.0"
"1108976.0","1913.0"
"1108977.0","2002.0"
"1108978.0","1796.0"
"1108979.0","1908.0"
"1108980.0","2356.0"
"1108981.0","2534.0"
"1108982.0","2365.0"
"1108983.0","2070.0"
"1108984.0","1977.0"
"1108985.0","2035.0"
"1108986.0","1937.0"
"1108987.0","1943.0"
"1108988.0","1647.0"
"1108989.0","2075.0"
"1108990.0","2389.0"
"1108991.0","2344.0"
